specimen,tensile_strength,hardness,density
1,29314,53.00,2.666
2,34860,70.20,2.708
3,36818,84.30,2.865
4,30120,55.30,2.627
5,34020,78.50,2.581
6,30824,63.50,2.633
7,35396,71.40,2.671
8,31260,53.40,2.65
9,32184,82.50,2.717
10,33424,67.30,2.614
11,37694,69.50,2.524
12,34876,73.00,2.741
13,24660,55.70,2.619
14,34760,85.80,2.755
15,38020,95.40,2.846
16,25680,51.10,2.575
17,25810,74.40,2.561
18,26460,54.10,2.593
19,28070,77.80,2.639
20,24640,52.40,2.611
21,25770,69.10,2.696
22,23690,53.50,2.606
23,28650,64.30,2.616
24,32380,82.70,2.748
25,28210,55.70,2.518
26,34002,70.50,2.726
27,34470,87.50,2.875
28,29248,50.70,2.585
29,28710,72.30,2.547
30,29830,59.50,2.606
31,29250,71.30,2.648
32,27992,52.70,2.4
33,31852,76.50,2.692
34,27646,63.70,2.669
35,31698,69.20,2.628
36,30844,69.20,2.696
37,31988,61.40,2.648
38,36640,83.70,2.775
39,41578,94.70,2.874
40,30496,70.20,2.7
41,29668,80.40,2.583
42,32622,76.70,2.668
43,32822,82.90,2.679
44,30380,55.00,2.609
45,38580,83.20,2.721
46,28202,62.60,2.678
47,29190,78.00,2.61
48,35636,84.60,2.728
49,34332,64.00,2.709
50,34750,75.30,2.88
51,40578,84.80,2.949
52,28900,49.40,2.669
53,34648,74.20,2.624
54,31244,59.80,2.705
55,33802,75.20,2.736
56,34850,57.70,2.701
57,36690,79.30,2.776
58,32344,67.60,2.754
59,34440,77.00,2.66
60,34650,74.80,2.819
